id,commune_name,name,additional_digit,city_id/id,latitude,longitude,lang_id/id,communitynumber_bfs
zipcode_6514_Sementina,Bellinzona,6514,0,city_ch_Sementina,46.18305292519581,8.986780908965658,base.lang_en,5002
zipcode_6515_Gudo,Bellinzona,6515,0,city_ch_Gudo,46.17534700071845,8.951059307209748,base.lang_en,5002
zipcode_6516_Cugnasco,Cugnasco-Gerra,6516,0,city_ch_Cugnasco,46.17418892706802,8.91749871818584,base.lang_en,5138
zipcode_6517_Arbedo,Arbedo-Castione,6517,0,city_ch_Arbedo,46.21378463014271,9.046483322941453,base.lang_en,5001
zipcode_6518_Gorduno,Bellinzona,6518,0,city_ch_Gorduno,46.21685903574508,9.032401849156258,base.lang_en,5002
zipcode_6523_Preonzo,Bellinzona,6523,0,city_ch_Preonzo,46.26349561769784,9.002014996004304,base.lang_en,5002
zipcode_6524_Moleno,Bellinzona,6524,0,city_ch_Moleno,46.26859709399601,8.9934635841617,base.lang_en,5002
zipcode_6525_Gnosca,Bellinzona,6525,0,city_ch_Gnosca,46.2339000213862,9.020463028392728,base.lang_en,5002
zipcode_6526_Prosito,Riviera,6526,0,city_ch_Prosito,46.279618170099724,8.98350748182635,base.lang_en,5287
zipcode_6527_Lodrino,Riviera,6527,0,city_ch_Lodrino,46.301559052480954,8.977840946412714,base.lang_en,5287
zipcode_6528_Camorino,Bellinzona,6528,0,city_ch_Camorino,46.163661623377216,9.006395484115924,base.lang_en,5002
zipcode_6532_Castione,Arbedo-Castione,6532,0,city_ch_Castione,46.22719721188734,9.04740607788615,base.lang_en,5001
zipcode_6533_Lumino,Lumino,6533,0,city_ch_Lumino,46.23038035903418,9.06598903984082,base.lang_en,5010
zipcode_6534_S._Vittore,San Vittore,6534,0,city_ch_S._Vittore,46.18621933642523,9.162610925347636,base.lang_en,3835
zipcode_6534_S._Vittore,San Vittore,6534,0,city_ch_S._Vittore,46.23842782168884,9.110124647357114,base.lang_en,3835
zipcode_6535_Roveredo_GR,Roveredo (GR),6535,0,city_ch_Roveredo_GR,46.23310249523047,9.120003006531215,base.lang_en,3834
zipcode_6537_Grono,Grono,6537,0,city_ch_Grono,46.24754590749502,9.144999240787877,base.lang_en,3832
zipcode_6538_Verdabbio,Grono,6538,0,city_ch_Verdabbio,46.268216587645654,9.157854762320383,base.lang_en,3832
zipcode_6538_Verdabbio,Grono,6538,0,city_ch_Verdabbio,46.26442284624786,9.23422883318792,base.lang_en,3832
zipcode_6540_Castaneda,Castaneda,6540,0,city_ch_Castaneda,46.25700735647225,9.140497235878994,base.lang_en,3805
zipcode_6541_Sta._Maria_in_Calanca,Santa Maria in Calanca,6541,0,city_ch_Sta._Maria_in_Calanca,46.26301322082196,9.144958794511027,base.lang_en,3810
zipcode_6542_Buseno,Buseno,6542,0,city_ch_Buseno,46.27275912249046,9.107344858312565,base.lang_en,3804
zipcode_6543_Arvigo,Calanca,6543,0,city_ch_Arvigo,46.30225069190649,9.113391169575102,base.lang_en,3837
zipcode_6544_Braggio,Calanca,6544,0,city_ch_Braggio,46.30326680130374,9.123535050785593,base.lang_en,3837
zipcode_6545_Selma,Calanca,6545,0,city_ch_Selma,46.31924627241436,9.121669808026144,base.lang_en,3837
zipcode_6546_Cauco,Calanca,6546,0,city_ch_Cauco,46.33506406866638,9.12134115847307,base.lang_en,3837
zipcode_6548_Rossa,Rossa,6548,0,city_ch_Rossa,46.37282886406153,9.127096906526479,base.lang_en,3808
zipcode_6548_Augio,Rossa,6548,1,city_ch_Augio,46.36470191071707,9.12671009048805,base.lang_en,3808
zipcode_6548_Sta._Domenica,Rossa,6548,2,city_ch_Sta._Domenica,46.351822801640125,9.122845750653754,base.lang_en,3808
zipcode_6549_Laura,Roveredo (GR),6549,0,city_ch_Laura,46.213347750386745,9.105185370377322,base.lang_en,3834
zipcode_6556_Leggia,Grono,6556,0,city_ch_Leggia,46.260947102788634,9.164463557866263,base.lang_en,3832
zipcode_6557_Cama,Cama,6557,0,city_ch_Cama,46.27211821516478,9.173172862006505,base.lang_en,3831
zipcode_6558_Lostallo,Lostallo,6558,0,city_ch_Lostallo,46.31260034159053,9.194435336028919,base.lang_en,3821
zipcode_6562_Soazza,Soazza,6562,0,city_ch_Soazza,46.36691327698995,9.222924597474144,base.lang_en,3823
zipcode_6563_Mesocco,Mesocco,6563,0,city_ch_Mesocco,46.39278033915167,9.230758252491245,base.lang_en,3822
zipcode_6565_S._Bernardino,Mesocco,6565,0,city_ch_S._Bernardino,46.46283264219293,9.192387471770187,base.lang_en,3822
zipcode_6571_Indemini,Gambarogno,6571,0,city_ch_Indemini,46.09445511823649,8.826149367713937,base.lang_en,5398
zipcode_6572_Quartino,Gambarogno,6572,0,city_ch_Quartino,46.15278652910646,8.895107891818922,base.lang_en,5398
zipcode_6573_Magadino,Gambarogno,6573,0,city_ch_Magadino,46.14761434959627,8.856774777948651,base.lang_en,5398
zipcode_6574_Vira_(Gambarogno),Gambarogno,6574,0,city_ch_Vira_(Gambarogno),46.144487965588496,8.841021188905033,base.lang_en,5398
zipcode_6575_S._Nazzaro,Gambarogno,6575,0,city_ch_S._Nazzaro,46.132219192084726,8.803586432697726,base.lang_en,5398
zipcode_6575_Vairano,Gambarogno,6575,1,city_ch_Vairano,46.1320890831578,8.810429591714847,base.lang_en,5398
zipcode_6576_Gerra_(Gambarogno),Gambarogno,6576,0,city_ch_Gerra_(Gambarogno),46.12306307938588,8.785274406232038,base.lang_en,5398
zipcode_6577_Ranzo,Gambarogno,6577,0,city_ch_Ranzo,46.11704764676601,8.776457570237314,base.lang_en,5398
zipcode_6578_Caviano,Gambarogno,6578,0,city_ch_Caviano,46.10716783481724,8.76636015547498,base.lang_en,5398
zipcode_6579_Piazzogna,Gambarogno,6579,0,city_ch_Piazzogna,46.13512149706229,8.824928452175234,base.lang_en,5398
zipcode_6582_Pianezzo,Bellinzona,6582,0,city_ch_Pianezzo,46.16964625185345,9.029751382736986,base.lang_en,5002
zipcode_6583_S._Antonio_(Val_Morobbia),Bellinzona,6583,0,city_ch_S._Antonio_(Val_Morobbia),46.16924359628216,9.061327940714415,base.lang_en,5002
zipcode_6584_Carena,Bellinzona,6584,0,city_ch_Carena,46.16879073072494,9.085264932171674,base.lang_en,5002
zipcode_6592_S._Antonino,Sant'Antonino,6592,0,city_ch_S._Antonino,46.15342160095455,8.978690475702646,base.lang_en,5017
zipcode_6593_Cadenazzo,Cadenazzo,6593,0,city_ch_Cadenazzo,46.14902057875978,8.952044307703376,base.lang_en,5003
zipcode_6594_Contone,Gambarogno,6594,0,city_ch_Contone,46.14806740587515,8.92868109200676,base.lang_en,5398
zipcode_6595_Riazzino,Lavertezzo,6595,0,city_ch_Riazzino,46.17834971305667,8.888018904602975,base.lang_en,5112
