id,name,state_id/.id,country_id/id
city_ch_Crans_VD,Crans VD,1386,base.ch
city_ch_Vufflens_la_Ville,Vufflens-la-Ville,1386,base.ch
city_ch_Penthaz,Penthaz,1386,base.ch
city_ch_Cossonay_Ville,Cossonay-Ville,1386,base.ch
city_ch_Dizy,Dizy,1386,base.ch
city_ch_Allens,Allens,1386,base.ch
city_ch_Senarclens,Senarclens,1386,base.ch
city_ch_Penthalaz,Penthalaz,1386,base.ch
city_ch_Daillens,Daillens,1386,base.ch
city_ch_Lussery_Villars,Lussery-Villars,1386,base.ch
city_ch_La_Chaux_(Cossonay),La Chaux (Cossonay),1386,base.ch
city_ch_Eclepens,Eclépens,1386,base.ch
city_ch_Ferreyres,Ferreyres,1386,base.ch
city_ch_La_Sarraz,La Sarraz,1386,base.ch
city_ch_Chevilly,Chevilly,1386,base.ch
city_ch_Orny,Orny,1386,base.ch
city_ch_Pompaples,Pompaples,1386,base.ch
city_ch_Arnex_sur_Orbe,Arnex-sur-Orbe,1386,base.ch
city_ch_Croy,Croy,1386,base.ch
city_ch_Romainmôtier,Romainmôtier,1386,base.ch
city_ch_Premier,Premier,1386,base.ch
city_ch_Vaulion,Vaulion,1386,base.ch
city_ch_Juriens,Juriens,1386,base.ch
city_ch_Bretonnieres,Bretonnières,1386,base.ch
city_ch_Vallorbe,Vallorbe,1386,base.ch
city_ch_Ballaigues,Ballaigues,1386,base.ch
city_ch_L'Orient,L'Orient,1386,base.ch
city_ch_Le_Pont,Le Pont,1386,base.ch
city_ch_Les_Charbonnieres,Les Charbonnières,1386,base.ch
city_ch_L'Abbaye,L'Abbaye,1386,base.ch
city_ch_Le_Lieu,Le Lieu,1386,base.ch
city_ch_Le_Sechey,Le Séchey,1386,base.ch
city_ch_Les_Bioux,Les Bioux,1386,base.ch
city_ch_Le_Sentier,Le Sentier,1386,base.ch
city_ch_Le_Solliat,Le Solliat,1386,base.ch
city_ch_Le_Brassus,Le Brassus,1386,base.ch
city_ch_Orbe,Orbe,1386,base.ch
city_ch_Agiez,Agiez,1386,base.ch
city_ch_Bofflens,Bofflens,1386,base.ch
city_ch_Montcherand,Montcherand,1386,base.ch
city_ch_L'Abergement,L'Abergement,1386,base.ch
city_ch_Sergey,Sergey,1386,base.ch
city_ch_Les_Clees,Les Clées,1386,base.ch
city_ch_La_Russille,La Russille,1386,base.ch
city_ch_Lignerolle,Lignerolle,1386,base.ch
city_ch_Valeyres_sous_Rances,Valeyres-sous-Rances,1386,base.ch
city_ch_Bavois,Bavois,1386,base.ch
city_ch_Chavornay,Chavornay,1386,base.ch
city_ch_Corcelles_sur_Chavornay,Corcelles-sur-Chavornay,1386,base.ch
city_ch_Penthereaz,Penthéréaz,1386,base.ch
city_ch_Goumoens_la_Ville,Goumoens-la-Ville,1386,base.ch
city_ch_Eclagnens,Eclagnens,1386,base.ch
city_ch_Goumoens_le_Jux,Goumoens-le-Jux,1386,base.ch
city_ch_Oulens_sous_Echallens,Oulens-sous-Echallens,1386,base.ch
city_ch_Yverdon_les_Bains,Yverdon-les-Bains,1386,base.ch
city_ch_Cheseaux_Noreaz,Cheseaux-Noréaz,1386,base.ch
city_ch_Cuarny,Cuarny,1386,base.ch
city_ch_Villars_Epeney,Villars-Epeney,1386,base.ch
city_ch_Pomy,Pomy,1386,base.ch
city_ch_Cronay,Cronay,1386,base.ch
city_ch_Donneloye,Donneloye,1386,base.ch
city_ch_Gossens,Gossens,1386,base.ch
city_ch_Mezery_pres_Donneloye,Mézery-près-Donneloye,1386,base.ch
city_ch_Bioley_Magnoux,Bioley-Magnoux,1386,base.ch
city_ch_Prahins,Prahins,1386,base.ch
city_ch_Chaneaz,Chanéaz,1386,base.ch
city_ch_Thierrens,Thierrens,1386,base.ch
city_ch_Correvon,Correvon,1386,base.ch
city_ch_Denezy,Denezy,1386,base.ch
city_ch_Prevondavaux,Prévondavaux,1389,base.ch
city_ch_St_Cierges,St-Cierges,1386,base.ch
city_ch_Valeyres_sous_Ursins,Valeyres-sous-Ursins,1386,base.ch
city_ch_Ursins,Ursins,1386,base.ch
city_ch_Orzens,Orzens,1386,base.ch
city_ch_Molondin,Molondin,1386,base.ch
city_ch_Demoret,Démoret,1386,base.ch
city_ch_Pailly,Pailly,1386,base.ch
city_ch_Essertines_sur_Yverdon,Essertines-sur-Yverdon,1386,base.ch
city_ch_Epautheyres,Epautheyres,1386,base.ch
city_ch_Vuarrens,Vuarrens,1386,base.ch
city_ch_Fiez,Fiez,1386,base.ch
city_ch_Fontaines_sur_Grandson,Fontaines-sur-Grandson,1386,base.ch
city_ch_Grandevent,Grandevent,1386,base.ch
city_ch_Grandson,Grandson,1386,base.ch
city_ch_Villars_Burquin,Villars-Burquin,1386,base.ch
city_ch_Fontanezier,Fontanezier,1386,base.ch
city_ch_Romairon,Romairon,1386,base.ch
city_ch_Vaugondry,Vaugondry,1386,base.ch
city_ch_Champagne,Champagne,1386,base.ch
city_ch_Onnens_VD,Onnens VD,1386,base.ch
city_ch_Concise,Concise,1386,base.ch
